Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,count
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,skipped,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,skipped,skipped,4
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Adrienne E. Adams,Whitney R. Tilson,1
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Brad Lander,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,3
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,2
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Zellnor Myrie,1
Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Adrienne E. Adams,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,1
Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,skipped,skipped,2
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Brad Lander,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Michael Blake,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Jessica Ramos,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Whitney R. Tilson,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,2
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Scott M. Stringer,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Scott M. Stringer,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,overvote,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Selma K. Bartholomew,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Selma K. Bartholomew,Adrienne E. Adams,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Whitney R. Tilson,Whitney R. Tilson,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Zellnor Myrie,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Zellnor Myrie,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Zellnor Myrie,Zellnor Myrie,1
Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,skipped,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,2
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,skipped,skipped,2
Adrienne E. Adams,Adrienne E. Adams,skipped,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,skipped,Andrew M. Cuomo,skipped,1
Adrienne E. Adams,Adrienne E. Adams,skipped,Brad Lander,Zellnor Myrie,1
Adrienne E. Adams,Adrienne E. Adams,skipped,skipped,Adrienne E. Adams,2
Adrienne E. Adams,Adrienne E. Adams,skipped,skipped,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,skipped,skipped,skipped,32
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,18
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,3
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,16
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Adrienne E. Adams,2
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Michael Blake,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,skipped,skipped,4
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,2
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,4
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,14
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,2
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Jessica Ramos,Michael Blake,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Andrew M. Cuomo,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Zellnor Myrie,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,skipped,skipped,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Adrienne E. Adams,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,skipped,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Brad Lander,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Brad Lander,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Brad Lander,skipped,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Michael Blake,7
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Paperboy Love Prince,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Scott M. Stringer,17
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Selma K. Bartholomew,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Whitney R. Tilson,6
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Write-in,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Zellnor Myrie,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,9
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,skipped,11
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Jessica Ramos,7
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Paperboy Love Prince,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Scott M. Stringer,19
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Selma K. Bartholomew,5
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Zellnor Myrie,10
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Zohran Kwame Mamdani,8
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,skipped,12
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Jessica Ramos,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Michael Blake,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Scott M. Stringer,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Zellnor Myrie,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,skipped,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Brad Lander,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Jessica Ramos,43
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Michael Blake,51
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Paperboy Love Prince,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Scott M. Stringer,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,18
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Whitney R. Tilson,27
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Write-in,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zellnor Myrie,62
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,116
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,overvote,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,skipped,112
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Jessica Ramos,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Michael Blake,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Paperboy Love Prince,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Scott M. Stringer,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,5
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,skipped,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Jessica Ramos,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Michael Blake,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Paperboy Love Prince,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Scott M. Stringer,7
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Zellnor Myrie,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,skipped,8
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Write-in,skipped,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Jessica Ramos,8
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Michael Blake,8
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Paperboy Love Prince,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Scott M. Stringer,30
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Whitney R. Tilson,7
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,23
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,skipped,25
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,12
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Michael Blake,9
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,7
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,78
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,5
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,15
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,skipped,41
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,overvote,Zohran Kwame Mamdani,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Jessica Ramos,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Michael Blake,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Scott M. Stringer,4
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Zellnor Myrie,2
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,Zohran Kwame Mamdani,3
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,skipped,skipped,304
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Jessica Ramos,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Michael Blake,8
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Paperboy Love Prince,5
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Scott M. Stringer,11
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Selma K. Bartholomew,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Whitney R. Tilson,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Write-in,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,9
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,skipped,11
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Jessica Ramos,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Jessica Ramos,Brad Lander,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Adrienne E. Adams,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Brad Lander,18
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Paperboy Love Prince,4
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Scott M. Stringer,15
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Selma K. Bartholomew,6
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Whitney R. Tilson,7
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Zellnor Myrie,5
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Zohran Kwame Mamdani,8
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,overvote,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,skipped,7
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,3
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Zellnor Myrie,1
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Zohran Kwame Mamdani,2
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Brad Lander,20
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Michael Blake,15
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,5
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,8
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,8
