Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,count
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,376
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,7
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Brad Lander,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Paperboy Love Prince,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Whitney R. Tilson,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,skipped,7
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,6
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,skipped,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Adrienne E. Adams,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Brad Lander,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Jessica Ramos,Jessica Ramos,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Michael Blake,4
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Michael Blake,Whitney R. Tilson,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Paperboy Love Prince,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Whitney R. Tilson,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Whitney R. Tilson,Jessica Ramos,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Brad Lander,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zellnor Myrie,Zellnor Myrie,3
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Zohran Kwame Mamdani,Zohran Kwame Mamdani,5
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,skipped,Adrienne E. Adams,6
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,skipped,Andrew M. Cuomo,2
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,skipped,skipped,12
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,2
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,5
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,1
Adrienne E. Adams,Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Jessica Ramos,1
