"rank1","rank2","rank3","rank4","rank5"
"Bob Kiss","Dan Smith","James Simpson","Andy Montroll","Kurt Wright"
"Andy Montroll","Kurt Wright","Dan Smith","skipped","skipped"
"Bob Kiss","Dan Smith","skipped","skipped","skipped"
"Bob Kiss","Andy Montroll","Dan Smith","Kurt Wright","James Simpson"
"Andy Montroll","Bob Kiss","Dan Smith","skipped","skipped"
"Kurt Wright","Dan Smith","Andy Montroll","Bob Kiss","James Simpson"
"Bob Kiss","Andy Montroll","Dan Smith","skipped","skipped"
"Kurt Wright","Dan Smith","skipped","skipped","skipped"
"Bob Kiss","Dan Smith","Andy Montroll","skipped","skipped"
"Bob Kiss","Dan Smith","James Simpson","Andy Montroll","Kurt Wright"
"Bob Kiss","Dan Smith","Andy Montroll","skipped","skipped"
"Bob Kiss","Andy Montroll","Kurt Wright","James Simpson","Dan Smith"
"Andy Montroll","Bob Kiss","Dan Smith","skipped","skipped"
"Bob Kiss","James Simpson","Dan Smith","skipped","skipped"
"Dan Smith","James Simpson","Bob Kiss","Andy Montroll","skipped"
"Kurt Wright","Andy Montroll","Dan Smith","skipped","skipped"
"Bob Kiss","Dan Smith","Andy Montroll","Kurt Wright","James Simpson"
"Bob Kiss","Dan Smith","Andy Montroll","James Simpson","Kurt Wright"
"Kurt Wright","Dan Smith","Andy Montroll","skipped","skipped"
"Bob Kiss","Andy Montroll","James Simpson","Dan Smith","Kurt Wright"
