"CVR","Precinct","AD","ED","rank1","rank2","rank3","rank4","rank5"
100911,"AD: 56 ED: 068",56,68,"Bianca Cunningham","Jamell Henderson","Dante Arnwine","skipped","skipped"
100947,"AD: 56 ED: 068",56,68,"Lawman Lynch","Darlene Mealy","Jammel Thompson","Eli Brown","Clifton A. Hinton"
100980,"AD: 55 ED: 053",55,53,"Jamell Henderson","Dante Arnwine","Jammel Thompson","Bianca Cunningham","Lawman Lynch"
100986,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Dante Arnwine","Lawman Lynch","Jamell Henderson","Eli Brown"
101010,"AD: 56 ED: 068",56,68,"Darlene Mealy","Jammel Thompson","Jamell Henderson","Bianca Cunningham","Eli Brown"
101022,"AD: 43 ED: 051",43,51,"Bianca Cunningham","Dante Arnwine","Lawman Lynch","Eli Brown","Jamell Henderson"
101023,"AD: 55 ED: 053",55,53,"Jamell Henderson","Bianca Cunningham","Lawman Lynch","Dante Arnwine","skipped"
101040,"AD: 55 ED: 053",55,53,"Darlene Mealy","Eli Brown","Bianca Cunningham","Bianca Cunningham","skipped"
101042,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Dante Arnwine","Jammel Thompson","Jamell Henderson","skipped"
101048,"AD: 56 ED: 068",56,68,"Jammel Thompson","Clifton A. Hinton","Dante Arnwine","Eli Brown","Darlene Mealy"
101053,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
101059,"AD: 55 ED: 053",55,53,"Jammel Thompson","Darlene Mealy","skipped","skipped","skipped"
101062,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
101071,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Lawman Lynch","Dante Arnwine","Jamell Henderson","Jammel Thompson"
101073,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Jammel Thompson","Dante Arnwine","Lawman Lynch","skipped"
101082,"AD: 55 ED: 053",55,53,"Jammel Thompson","Jamell Henderson","Darlene Mealy","Bianca Cunningham","Dante Arnwine"
101087,"AD: 56 ED: 068",56,68,"Jamell Henderson","Lawman Lynch","Jammel Thompson","Bianca Cunningham","Eli Brown"
101143,"AD: 43 ED: 051",43,51,"Jamell Henderson","skipped","skipped","skipped","skipped"
101174,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
101175,"AD: 55 ED: 053",55,53,"Darlene Mealy","skipped","skipped","skipped","skipped"
101184,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Jamell Henderson","Dante Arnwine","skipped","skipped"
101221,"AD: 55 ED: 053",55,53,"Bianca Cunningham","Jamell Henderson","Dante Arnwine","Eli Brown","Lawman Lynch"
101225,"AD: 55 ED: 053",55,53,"Jamell Henderson","skipped","skipped","skipped","skipped"
