"CVR","Precinct","AD","ED","rank1","rank2","rank3","rank4","rank5"
150722,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
150725,"AD: 58 ED: 003",58,3,"Lawman Lynch","Jammel Thompson","Bianca Cunningham","Jamell Henderson","Darlene Mealy"
150727,"AD: 58 ED: 003",58,3,"Eli Brown","Darlene Mealy","Jamell Henderson","Jammel Thompson","Lawman Lynch"
150728,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
150729,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
150730,"AD: 58 ED: 003",58,3,"Lawman Lynch","Dante Arnwine","Jammel Thompson","Bianca Cunningham","Darlene Mealy"
150731,"AD: 58 ED: 002",58,2,"Darlene Mealy","Jammel Thompson","skipped","skipped","skipped"
150732,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
150735,"AD: 58 ED: 002",58,2,"Jammel Thompson","skipped","skipped","skipped","skipped"
150741,"AD: 58 ED: 003",58,3,"Lawman Lynch","Bianca Cunningham","Jamell Henderson","skipped","skipped"
150744,"AD: 58 ED: 003",58,3,"Lawman Lynch","Darlene Mealy","Jammel Thompson","Jamell Henderson","Dante Arnwine"
150746,"AD: 58 ED: 003",58,3,"Jamell Henderson","skipped","skipped","skipped","skipped"
150747,"AD: 58 ED: 003",58,3,"Dante Arnwine","Lawman Lynch","Darlene Mealy","Jamell Henderson","Jammel Thompson"
150748,"AD: 58 ED: 002",58,2,"Lawman Lynch","Dante Arnwine","Jammel Thompson","Eli Brown","Jamell Henderson"
150749,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Jammel Thompson","Bianca Cunningham","Jamell Henderson"
150750,"AD: 58 ED: 002",58,2,"Bianca Cunningham","Darlene Mealy","Eli Brown","Jammel Thompson","Clifton A. Hinton"
150751,"AD: 58 ED: 003",58,3,"Jammel Thompson","Bianca Cunningham","Jamell Henderson","Eli Brown","Darlene Mealy"
150752,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","skipped","skipped","skipped"
150754,"AD: 58 ED: 007",58,7,"Bianca Cunningham","Dante Arnwine","Darlene Mealy","Clifton A. Hinton","Eli Brown"
150756,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150757,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Jammel Thompson","skipped","skipped"
150759,"AD: 58 ED: 007",58,7,"Eli Brown","Jammel Thompson","Jamell Henderson","Bianca Cunningham","Clifton A. Hinton"
150762,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150763,"AD: 58 ED: 002",58,2,"Dante Arnwine","Jammel Thompson","Darlene Mealy","skipped","skipped"
150766,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","Bianca Cunningham","Dante Arnwine","Jammel Thompson"
150767,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150768,"AD: 58 ED: 003",58,3,"Lawman Lynch","Eli Brown","Bianca Cunningham","Jamell Henderson","Dante Arnwine"
150770,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
150771,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150772,"AD: 58 ED: 007",58,7,"Bianca Cunningham","skipped","skipped","skipped","skipped"
150776,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","Jammel Thompson","Jamell Henderson","skipped"
150778,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
150779,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150780,"AD: 58 ED: 007",58,7,"Bianca Cunningham","Eli Brown","Darlene Mealy","skipped","skipped"
150781,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
150783,"AD: 58 ED: 003",58,3,"Jamell Henderson","Lawman Lynch","Bianca Cunningham","Dante Arnwine","Darlene Mealy"
150784,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
150786,"AD: 58 ED: 007",58,7,"Darlene Mealy","Jammel Thompson","Lawman Lynch","Jamell Henderson","Dante Arnwine"
150788,"AD: 58 ED: 002",58,2,"Jammel Thompson","skipped","skipped","skipped","skipped"
150789,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","Jammel Thompson","Bianca Cunningham","Dante Arnwine"
150791,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
150793,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150794,"AD: 58 ED: 003",58,3,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
150795,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150797,"AD: 58 ED: 003",58,3,"Lawman Lynch","skipped","skipped","skipped","skipped"
150798,"AD: 58 ED: 002",58,2,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
150799,"AD: 58 ED: 003",58,3,"Jamell Henderson","Eli Brown","Lawman Lynch","Clifton A. Hinton","Bianca Cunningham"
150800,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150801,"AD: 58 ED: 003",58,3,"Clifton A. Hinton","skipped","skipped","skipped","skipped"
150803,"AD: 58 ED: 002",58,2,"Jamell Henderson","skipped","skipped","skipped","skipped"
150804,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150805,"AD: 58 ED: 003",58,3,"Lawman Lynch","Eli Brown","Jamell Henderson","Darlene Mealy","Clifton A. Hinton"
150806,"AD: 58 ED: 007",58,7,"Bianca Cunningham","skipped","skipped","skipped","skipped"
150807,"AD: 58 ED: 003",58,3,"Darlene Mealy","Dante Arnwine","Lawman Lynch","skipped","skipped"
150809,"AD: 58 ED: 007",58,7,"Darlene Mealy","Bianca Cunningham","Jamell Henderson","Dante Arnwine","Jammel Thompson"
150810,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150811,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
150812,"AD: 58 ED: 002",58,2,"Darlene Mealy","Write-in","skipped","skipped","skipped"
150813,"AD: 58 ED: 002",58,2,"Lawman Lynch","Jammel Thompson","Jamell Henderson","Eli Brown","Darlene Mealy"
150814,"AD: 58 ED: 003",58,3,"Jamell Henderson","skipped","skipped","skipped","skipped"
150815,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
150817,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150818,"AD: 58 ED: 007",58,7,"Jamell Henderson","skipped","skipped","skipped","skipped"
150819,"AD: 58 ED: 007",58,7,"Jammel Thompson","skipped","skipped","skipped","skipped"
150820,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150821,"AD: 58 ED: 007",58,7,"Jamell Henderson","Eli Brown","Bianca Cunningham","Write-in","skipped"
150822,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
150823,"AD: 58 ED: 003",58,3,"Jamell Henderson","Darlene Mealy","skipped","skipped","skipped"
150824,"AD: 58 ED: 003",58,3,"Jammel Thompson","skipped","skipped","skipped","skipped"
150825,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
150827,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
150829,"AD: 58 ED: 003",58,3,"Bianca Cunningham","Jamell Henderson","Dante Arnwine","Eli Brown","skipped"
150830,"AD: 58 ED: 003",58,3,"Jammel Thompson","Darlene Mealy","Bianca Cunningham","Jamell Henderson","Clifton A. Hinton"
150832,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
150833,"AD: 58 ED: 003",58,3,"Lawman Lynch","Bianca Cunningham","Dante Arnwine","Jamell Henderson","Jammel Thompson"
150834,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
150835,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151239,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151243,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151245,"AD: 58 ED: 003",58,3,"Bianca Cunningham","Lawman Lynch","Dante Arnwine","skipped","skipped"
151246,"AD: 58 ED: 007",58,7,"overvote","skipped","skipped","skipped","skipped"
151247,"AD: 58 ED: 002",58,2,"Jammel Thompson","skipped","skipped","skipped","skipped"
151250,"AD: 58 ED: 002",58,2,"Jammel Thompson","skipped","skipped","skipped","skipped"
151252,"AD: 58 ED: 007",58,7,"Bianca Cunningham","Dante Arnwine","Jammel Thompson","Lawman Lynch","Darlene Mealy"
151253,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151254,"AD: 58 ED: 003",58,3,"Lawman Lynch","Eli Brown","Darlene Mealy","skipped","skipped"
151255,"AD: 58 ED: 002",58,2,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151257,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151258,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151259,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151260,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151261,"AD: 58 ED: 007",58,7,"Darlene Mealy","Bianca Cunningham","Eli Brown","Clifton A. Hinton","skipped"
151266,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151267,"AD: 58 ED: 003",58,3,"Jammel Thompson","Write-in","Dante Arnwine","Darlene Mealy","Jamell Henderson"
151269,"AD: 58 ED: 002",58,2,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
151270,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","skipped","skipped","skipped"
151271,"AD: 58 ED: 003",58,3,"Dante Arnwine","Darlene Mealy","Jamell Henderson","Lawman Lynch","Jammel Thompson"
151273,"AD: 58 ED: 002",58,2,"Jamell Henderson","Lawman Lynch","Darlene Mealy","skipped","skipped"
151274,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
151275,"AD: 58 ED: 003",58,3,"Lawman Lynch","skipped","skipped","skipped","skipped"
151276,"AD: 58 ED: 002",58,2,"Darlene Mealy","Lawman Lynch","Jammel Thompson","Clifton A. Hinton","Jamell Henderson"
151277,"AD: 58 ED: 007",58,7,"Dante Arnwine","skipped","skipped","skipped","skipped"
151280,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Jamell Henderson","Bianca Cunningham","Jammel Thompson"
151281,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
151283,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151285,"AD: 58 ED: 003",58,3,"Darlene Mealy","Jamell Henderson","skipped","skipped","skipped"
151286,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151287,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151288,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151289,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151290,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151292,"AD: 58 ED: 003",58,3,"Jammel Thompson","Dante Arnwine","Clifton A. Hinton","Jamell Henderson","Eli Brown"
151293,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","skipped","skipped","skipped"
151295,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
151296,"AD: 58 ED: 003",58,3,"skipped","skipped","skipped","skipped","Dante Arnwine"
151297,"AD: 58 ED: 003",58,3,"Lawman Lynch","Darlene Mealy","Bianca Cunningham","Dante Arnwine","Jammel Thompson"
151300,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151301,"AD: 58 ED: 003",58,3,"Darlene Mealy","Dante Arnwine","Clifton A. Hinton","Bianca Cunningham","skipped"
151302,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151303,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151304,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Bianca Cunningham","skipped","skipped"
151305,"AD: 58 ED: 007",58,7,"Jamell Henderson","Jammel Thompson","Eli Brown","Dante Arnwine","skipped"
151307,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151308,"AD: 58 ED: 007",58,7,"Lawman Lynch","Darlene Mealy","Jamell Henderson","Bianca Cunningham","Dante Arnwine"
151309,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151311,"AD: 58 ED: 007",58,7,"skipped","skipped","Lawman Lynch","skipped","skipped"
151313,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151314,"AD: 58 ED: 002",58,2,"Darlene Mealy","Bianca Cunningham","skipped","skipped","skipped"
151315,"AD: 58 ED: 007",58,7,"Lawman Lynch","Eli Brown","Jammel Thompson","Dante Arnwine","Bianca Cunningham"
151317,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
151321,"AD: 58 ED: 007",58,7,"Darlene Mealy","Jamell Henderson","Clifton A. Hinton","Bianca Cunningham","Lawman Lynch"
151325,"AD: 58 ED: 003",58,3,"Dante Arnwine","Jamell Henderson","Jammel Thompson","Lawman Lynch","Write-in"
151326,"AD: 58 ED: 003",58,3,"Clifton A. Hinton","Eli Brown","Bianca Cunningham","Jamell Henderson","Lawman Lynch"
151329,"AD: 58 ED: 002",58,2,"Lawman Lynch","Bianca Cunningham","skipped","skipped","skipped"
151331,"AD: 58 ED: 002",58,2,"Lawman Lynch","Jammel Thompson","Jamell Henderson","Eli Brown","Darlene Mealy"
151332,"AD: 58 ED: 003",58,3,"Eli Brown","Clifton A. Hinton","Lawman Lynch","Bianca Cunningham","Jammel Thompson"
151333,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","Eli Brown","Darlene Mealy","skipped"
151335,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
151336,"AD: 58 ED: 007",58,7,"Jammel Thompson","Jamell Henderson","Lawman Lynch","Bianca Cunningham","Dante Arnwine"
151337,"AD: 58 ED: 002",58,2,"Jammel Thompson","Bianca Cunningham","Eli Brown","skipped","skipped"
151338,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","Dante Arnwine","skipped","skipped"
151340,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151342,"AD: 58 ED: 003",58,3,"Darlene Mealy","Dante Arnwine","Clifton A. Hinton","Lawman Lynch","Eli Brown"
151343,"AD: 58 ED: 003",58,3,"Lawman Lynch","skipped","skipped","skipped","skipped"
151345,"AD: 58 ED: 007",58,7,"Jammel Thompson","skipped","skipped","skipped","skipped"
151346,"AD: 58 ED: 007",58,7,"Jamell Henderson","skipped","skipped","skipped","skipped"
151348,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Bianca Cunningham","Dante Arnwine","Jammel Thompson"
151349,"AD: 58 ED: 007",58,7,"Jammel Thompson","skipped","skipped","skipped","skipped"
151350,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151351,"AD: 58 ED: 007",58,7,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Eli Brown","Clifton A. Hinton"
151352,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151353,"AD: 58 ED: 003",58,3,"Darlene Mealy","Jamell Henderson","Clifton A. Hinton","Jammel Thompson","Bianca Cunningham"
151355,"AD: 58 ED: 002",58,2,"Darlene Mealy","Bianca Cunningham","skipped","skipped","skipped"
151357,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151358,"AD: 58 ED: 007",58,7,"Jammel Thompson","skipped","skipped","skipped","skipped"
151359,"AD: 58 ED: 002",58,2,"Bianca Cunningham","skipped","skipped","skipped","skipped"
151361,"AD: 58 ED: 003",58,3,"Darlene Mealy","Dante Arnwine","skipped","skipped","skipped"
151362,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151363,"AD: 58 ED: 007",58,7,"Jammel Thompson","Jamell Henderson","Darlene Mealy","Lawman Lynch","Dante Arnwine"
151364,"AD: 58 ED: 003",58,3,"Jammel Thompson","skipped","skipped","skipped","skipped"
151366,"AD: 58 ED: 003",58,3,"Bianca Cunningham","Darlene Mealy","Eli Brown","Clifton A. Hinton","Jammel Thompson"
151367,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
151368,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
151370,"AD: 58 ED: 003",58,3,"Lawman Lynch","skipped","skipped","skipped","skipped"
151371,"AD: 58 ED: 003",58,3,"Jammel Thompson","skipped","skipped","skipped","skipped"
151372,"AD: 58 ED: 007",58,7,"Bianca Cunningham","Jammel Thompson","Jamell Henderson","Clifton A. Hinton","Lawman Lynch"
151373,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151375,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151376,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151377,"AD: 58 ED: 003",58,3,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Eli Brown","Darlene Mealy"
151378,"AD: 58 ED: 002",58,2,"Eli Brown","Dante Arnwine","Jammel Thompson","skipped","skipped"
151380,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
151382,"AD: 58 ED: 003",58,3,"Darlene Mealy","Jammel Thompson","Jamell Henderson","Lawman Lynch","Eli Brown"
151384,"AD: 58 ED: 002",58,2,"Lawman Lynch","Darlene Mealy","skipped","skipped","skipped"
151385,"AD: 58 ED: 002",58,2,"Lawman Lynch","Jamell Henderson","Bianca Cunningham","Clifton A. Hinton","Jammel Thompson"
151386,"AD: 58 ED: 007",58,7,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Eli Brown","Clifton A. Hinton"
151387,"AD: 58 ED: 003",58,3,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Clifton A. Hinton","Darlene Mealy"
151388,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151389,"AD: 58 ED: 003",58,3,"Jammel Thompson","Dante Arnwine","skipped","skipped","skipped"
151390,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151391,"AD: 58 ED: 007",58,7,"Lawman Lynch","Jammel Thompson","Jamell Henderson","Darlene Mealy","Dante Arnwine"
151392,"AD: 58 ED: 002",58,2,"Jammel Thompson","Eli Brown","Darlene Mealy","skipped","skipped"
151393,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151394,"AD: 58 ED: 007",58,7,"Darlene Mealy","Lawman Lynch","Jammel Thompson","Eli Brown","Dante Arnwine"
151400,"AD: 58 ED: 002",58,2,"Darlene Mealy","skipped","skipped","skipped","skipped"
151401,"AD: 58 ED: 007",58,7,"Lawman Lynch","Darlene Mealy","skipped","skipped","skipped"
151403,"AD: 58 ED: 002",58,2,"Darlene Mealy","Dante Arnwine","Eli Brown","Jammel Thompson","Bianca Cunningham"
151404,"AD: 58 ED: 007",58,7,"Eli Brown","Dante Arnwine","Jammel Thompson","Jamell Henderson","Darlene Mealy"
151407,"AD: 58 ED: 003",58,3,"Dante Arnwine","Lawman Lynch","Darlene Mealy","Clifton A. Hinton","skipped"
151408,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151409,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151410,"AD: 58 ED: 003",58,3,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Clifton A. Hinton","Darlene Mealy"
151412,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151413,"AD: 58 ED: 007",58,7,"Dante Arnwine","skipped","skipped","skipped","skipped"
151414,"AD: 58 ED: 007",58,7,"Bianca Cunningham","Dante Arnwine","Jammel Thompson","Eli Brown","Eli Brown"
151416,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","Jamell Henderson","Bianca Cunningham","Eli Brown"
151418,"AD: 58 ED: 003",58,3,"Bianca Cunningham","Jammel Thompson","Eli Brown","Dante Arnwine","Lawman Lynch"
151419,"AD: 58 ED: 002",58,2,"Jammel Thompson","Lawman Lynch","Darlene Mealy","Bianca Cunningham","Jamell Henderson"
151420,"AD: 58 ED: 007",58,7,"Darlene Mealy","Bianca Cunningham","Jammel Thompson","skipped","skipped"
151421,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151423,"AD: 58 ED: 002",58,2,"Darlene Mealy","Dante Arnwine","Eli Brown","Clifton A. Hinton","Jammel Thompson"
151425,"AD: 58 ED: 002",58,2,"Lawman Lynch","skipped","skipped","skipped","skipped"
151427,"AD: 58 ED: 003",58,3,"Lawman Lynch","Darlene Mealy","Bianca Cunningham","Jammel Thompson","Jamell Henderson"
151432,"AD: 58 ED: 003",58,3,"Bianca Cunningham","Darlene Mealy","Dante Arnwine","Jammel Thompson","skipped"
151433,"AD: 58 ED: 007",58,7,"Darlene Mealy","skipped","skipped","skipped","skipped"
151434,"AD: 58 ED: 003",58,3,"Jammel Thompson","skipped","skipped","skipped","skipped"
151435,"AD: 58 ED: 002",58,2,"Eli Brown","Clifton A. Hinton","Jammel Thompson","Lawman Lynch","Jamell Henderson"
151437,"AD: 58 ED: 003",58,3,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Eli Brown","Clifton A. Hinton"
151438,"AD: 58 ED: 007",58,7,"Lawman Lynch","skipped","skipped","skipped","skipped"
151439,"AD: 58 ED: 002",58,2,"Darlene Mealy","Jammel Thompson","Jamell Henderson","Clifton A. Hinton","Bianca Cunningham"
151441,"AD: 58 ED: 002",58,2,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
151442,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151443,"AD: 58 ED: 003",58,3,"Darlene Mealy","Lawman Lynch","Jamell Henderson","Eli Brown","Bianca Cunningham"
151446,"AD: 58 ED: 003",58,3,"Dante Arnwine","skipped","skipped","skipped","skipped"
151447,"AD: 58 ED: 002",58,2,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
151448,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151449,"AD: 58 ED: 003",58,3,"Jammel Thompson","Jamell Henderson","Eli Brown","Lawman Lynch","Bianca Cunningham"
151450,"AD: 58 ED: 003",58,3,"Darlene Mealy","skipped","skipped","skipped","skipped"
151451,"AD: 58 ED: 007",58,7,"Darlene Mealy","Bianca Cunningham","Jammel Thompson","Lawman Lynch","Write-in"
151452,"AD: 58 ED: 007",58,7,"overvote","skipped","skipped","skipped","skipped"
151453,"AD: 58 ED: 003",58,3,"Clifton A. Hinton","Jammel Thompson","Darlene Mealy","Bianca Cunningham","Eli Brown"
151458,"AD: 58 ED: 002",58,2,"Darlene Mealy","Jammel Thompson","Bianca Cunningham","Jammel Thompson","Clifton A. Hinton"
152877,"AD: 58 ED: 015",58,15,"Bianca Cunningham","Lawman Lynch","Jammel Thompson","Darlene Mealy","Jamell Henderson"
152878,"AD: 58 ED: 012",58,12,"Darlene Mealy","skipped","skipped","skipped","skipped"
152879,"AD: 58 ED: 012",58,12,"Dante Arnwine","Darlene Mealy","Bianca Cunningham","Lawman Lynch","Clifton A. Hinton"
152880,"AD: 58 ED: 013",58,13,"Darlene Mealy","Bianca Cunningham","skipped","skipped","skipped"
152881,"AD: 58 ED: 012",58,12,"Bianca Cunningham","Darlene Mealy","Eli Brown","skipped","skipped"
152882,"AD: 58 ED: 013",58,13,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
152883,"AD: 58 ED: 015",58,15,"Darlene Mealy","skipped","skipped","skipped","skipped"
152884,"AD: 58 ED: 012",58,12,"Darlene Mealy","Clifton A. Hinton","Lawman Lynch","Eli Brown","Jammel Thompson"
152885,"AD: 58 ED: 013",58,13,"Jammel Thompson","Eli Brown","Darlene Mealy","Dante Arnwine","Bianca Cunningham"
152886,"AD: 58 ED: 015",58,15,"Darlene Mealy","skipped","skipped","skipped","skipped"
152887,"AD: 55 ED: 051",55,51,"Jammel Thompson","Lawman Lynch","Jamell Henderson","Eli Brown","Clifton A. Hinton"
152888,"AD: 58 ED: 015",58,15,"Lawman Lynch","Bianca Cunningham","skipped","skipped","skipped"
152889,"AD: 55 ED: 051",55,51,"Eli Brown","Jamell Henderson","Clifton A. Hinton","Bianca Cunningham","Lawman Lynch"
152890,"AD: 58 ED: 013",58,13,"Darlene Mealy","Jammel Thompson","Lawman Lynch","Bianca Cunningham","Jamell Henderson"
152891,"AD: 58 ED: 012",58,12,"Eli Brown","skipped","skipped","skipped","skipped"
152892,"AD: 55 ED: 051",55,51,"Bianca Cunningham","Dante Arnwine","Jamell Henderson","Lawman Lynch","skipped"
152893,"AD: 55 ED: 051",55,51,"Jammel Thompson","Lawman Lynch","Clifton A. Hinton","Darlene Mealy","Bianca Cunningham"
152895,"AD: 58 ED: 015",58,15,"Jamell Henderson","skipped","skipped","skipped","skipped"
152896,"AD: 58 ED: 013",58,13,"Jammel Thompson","Jamell Henderson","Darlene Mealy","Eli Brown","Bianca Cunningham"
152897,"AD: 55 ED: 051",55,51,"Bianca Cunningham","Dante Arnwine","Eli Brown","Lawman Lynch","skipped"
152898,"AD: 58 ED: 015",58,15,"Eli Brown","Lawman Lynch","Jammel Thompson","Clifton A. Hinton","Dante Arnwine"
152899,"AD: 58 ED: 015",58,15,"Lawman Lynch","Darlene Mealy","Bianca Cunningham","Jammel Thompson","Jamell Henderson"
152900,"AD: 55 ED: 051",55,51,"Darlene Mealy","skipped","skipped","skipped","skipped"
152901,"AD: 58 ED: 015",58,15,"Darlene Mealy","skipped","skipped","skipped","skipped"
152902,"AD: 58 ED: 012",58,12,"Eli Brown","skipped","skipped","skipped","skipped"
152903,"AD: 58 ED: 015",58,15,"Darlene Mealy","skipped","skipped","skipped","skipped"
152904,"AD: 58 ED: 012",58,12,"Darlene Mealy","skipped","skipped","skipped","skipped"
152905,"AD: 55 ED: 051",55,51,"Darlene Mealy","Jammel Thompson","Lawman Lynch","Clifton A. Hinton","Bianca Cunningham"
152906,"AD: 55 ED: 051",55,51,"Jamell Henderson","skipped","skipped","skipped","skipped"
152907,"AD: 58 ED: 012",58,12,"Dante Arnwine","skipped","skipped","skipped","skipped"
