RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
187,Elana Pirtle-Guiney,Jonathan Tasini,Nat West,Nabil Zaghloul,Tiffani Penson,
189,Tiffani Penson,Mariah Hudson,Bob Simril,Debbie Kitchin,Reuben Berlin,Dan Ryan
190,Mariah Hudson,Dan Ryan,Elana Pirtle-Guiney,Marnie Glickman,Tiffani Penson,Bob Simril
191,Elana Pirtle-Guiney,Dan Ryan,Mariah Hudson,Michael (Mike) Marshall,Bob Simril,Marnie Glickman
210,Dan Ryan,Mariah Hudson,Nat West,Tiffani Penson,,
212,Dan Ryan,Nat West,Marnie Glickman,,,
213,Mariah Hudson,Tiffani Penson,Dan Ryan,Michael (Mike) Marshall,Marnie Glickman,Debbie Kitchin
219,Dan Ryan,Michelle DePass,Tiffani Penson,Laura Streib,Nat West,Elana Pirtle-Guiney
220,James Armstrong,Tiffani Penson,Will Mespelt,Mariah Hudson,Reuben Berlin,Debbie Kitchin
221,Dan Ryan,Nabil Zaghloul,Mariah Hudson,Michael (Mike) Marshall,Tiffani Penson,Liz Taylor
225,Bob Simril,,,,,
230,Michelle DePass,Marnie Glickman,Michael (Mike) Marshall,Sameer Kanal,,
235,Nat West,Sameer Kanal,Chris Olson,Tiffani Penson,Jennifer Park,Mariah Hudson
236,Nat West,Debbie Kitchin,Marnie Glickman,Sameer Kanal,Michelle DePass,Elana Pirtle-Guiney
239,Elana Pirtle-Guiney,Michelle DePass,Laura Streib,Dan Ryan,Bob Simril,Tiffani Penson
244,Dan Ryan,Nat West,Elana Pirtle-Guiney,,,
252,Tiffani Penson,Nat West,Reuben Berlin,Antonio Jamal PettyJohnBlue,Sam Sachs,Michelle DePass
253,Dan Ryan,,,,,
254,Sameer Kanal,Michael (Mike) Marshall,Debbie Kitchin,Bob Simril,Nat West,Mariah Hudson
257,Debbie Kitchin,Chris Olson,Marnie Glickman,James Armstrong,Jonathan Tasini,Mariah Hudson
265,Dan Ryan,,,,,
269,Debbie Kitchin,Michael (Mike) Marshall,Bob Simril,Sameer Kanal,Nat West,Mariah Hudson
274,Michelle DePass,,,,,
275,Nat West,Jonathan Tasini,Tiffani Penson,Mariah Hudson,Michael (Mike) Marshall,Elana Pirtle-Guiney
290,Dan Ryan,Nabil Zaghloul,Marnie Glickman,Tiffani Penson,James Armstrong,Mariah Hudson
292,Michelle DePass,Sameer Kanal,Michael (Mike) Marshall,Jennifer Park,Tiffani Penson,
297,Nat West,Tiffani Penson,Jonathan Tasini,,,
312,Nat West,Jonathan Tasini,Tiffani Penson,Mariah Hudson,Michael (Mike) Marshall,Elana Pirtle-Guiney
314,Dan Ryan,,,,,
315,Dan Ryan,Jonathan Tasini,Tiffani Penson,Elana Pirtle-Guiney,Liz Taylor,
316,Elana Pirtle-Guiney,Nat West,Marnie Glickman,Michelle DePass,Sameer Kanal,Debbie Kitchin
317,Elana Pirtle-Guiney,Nat West,Marnie Glickman,Michelle DePass,Sameer Kanal,Debbie Kitchin
325,Sameer Kanal,Marnie Glickman,Elana Pirtle-Guiney,Nat West,Michelle DePass,Debbie Kitchin
326,Dan Ryan,Elana Pirtle-Guiney,Michelle DePass,Marnie Glickman,Michael (Mike) Marshall,James Armstrong
331,Tiffani Penson,Michael (Mike) Marshall,Dan Ryan,,,
335,Write-in-123,,,,,
339,Nat West,Sameer Kanal,Tiffani Penson,Elana Pirtle-Guiney,Mariah Hudson,Reuben Berlin
340,Tiffani Penson,Sameer Kanal,Nabil Zaghloul,Nat West,Elana Pirtle-Guiney,Antonio Jamal PettyJohnBlue
341,Elana Pirtle-Guiney,Nabil Zaghloul,Mariah Hudson,Tiffani Penson,Michelle DePass,Marnie Glickman
351,Jonathan Tasini,Dan Ryan,Liz Taylor,Elana Pirtle-Guiney,Marnie Glickman,Nat West
355,Debbie Kitchin,Tiffani Penson,Michael (Mike) Marshall,Jonathan Tasini,Mariah Hudson,Bob Simril
356,Dan Ryan,Bob Simril,Sameer Kanal,Tiffani Penson,Elana Pirtle-Guiney,Mariah Hudson
357,Michael (Mike) Marshall,Dan Ryan,Marnie Glickman,Michelle DePass,Sameer Kanal,James Armstrong
365,Dan Ryan,Michael (Mike) Marshall,Jennifer Park,Tiffani Penson,Sam Sachs,Laura Streib
366,Michelle DePass,James Armstrong,,,,
369,Nat West,,,,,
371,Debbie Kitchin,Marnie Glickman,Tiffani Penson,Jennifer Park,Elana Pirtle-Guiney,Mariah Hudson
378,Jennifer Park,Marnie Glickman,Nat West,Elana Pirtle-Guiney,Sameer Kanal,Debbie Kitchin
380,Dan Ryan,,,,,
387,Sam Sachs,Mariah Hudson,,,,
390,Marnie Glickman,Sameer Kanal,Debbie Kitchin,Jennifer Park,Elana Pirtle-Guiney,Michael (Mike) Marshall
396,Sameer Kanal,Nat West,Marnie Glickman,James Armstrong,Tiffani Penson,Elana Pirtle-Guiney
404,Nabil Zaghloul,Bob Simril,Sameer Kanal,,,
406,Elana Pirtle-Guiney,Nabil Zaghloul,Mariah Hudson,Tiffani Penson,Michelle DePass,Marnie Glickman
408,Dan Ryan,Nabil Zaghloul,Elana Pirtle-Guiney,Michelle DePass,,
409,Dan Ryan,Elana Pirtle-Guiney,Nabil Zaghloul,Michelle DePass,Tiffani Penson,
412,Michael (Mike) Marshall,Dan Ryan,Sameer Kanal,Michelle DePass,Elana Pirtle-Guiney,
415,Sameer Kanal,Debbie Kitchin,Nat West,Reuben Berlin,Chris Olson,Marnie Glickman
420,Dan Ryan,Elana Pirtle-Guiney,Mariah Hudson,Nabil Zaghloul,Reuben Berlin,Debbie Kitchin
424,Elana Pirtle-Guiney,Jonathan Tasini,Mariah Hudson,Reuben Berlin,Nat West,
431,Elana Pirtle-Guiney,Jennifer Park,Liz Taylor,Laura Streib,Mariah Hudson,Debbie Kitchin
432,Nat West,Bob Simril,Elana Pirtle-Guiney,Tiffani Penson,Debbie Kitchin,Michelle DePass
455,Michael (Mike) Marshall,Liz Taylor,James Armstrong,Dan Ryan,Chris Olson,Bob Simril
456,Dan Ryan,,,,,
489,Elana Pirtle-Guiney,Jennifer Park,Tiffani Penson,Mariah Hudson,Michelle DePass,Marnie Glickman
495,Marnie Glickman,Laura Streib,Michael (Mike) Marshall,Jennifer Park,Reuben Berlin,Sameer Kanal
497,Dan Ryan,Tiffani Penson,Nat West,Mariah Hudson,Jonathan Tasini,Elana Pirtle-Guiney
507,Jonathan Tasini,Liz Taylor,Dan Ryan,,,
510,Dan Ryan,Tiffani Penson,Nat West,Sameer Kanal,,
511,Dan Ryan,Tiffani Penson,Nat West,Sameer Kanal,,
514,Tiffani Penson,Sameer Kanal,Jennifer Park,James Armstrong,,
515,Mariah Hudson,James Armstrong,Jennifer Park,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney
520,Michelle DePass,Elana Pirtle-Guiney,Mariah Hudson,Dan Ryan,Michael (Mike) Marshall,Tiffani Penson
522,Nat West,Chris Olson,Elana Pirtle-Guiney,Laura Streib,Debbie Kitchin,Jonathan Tasini
541,Dan Ryan,,,,,
544,Dan Ryan,,,,,
547,James Armstrong,Reuben Berlin,Mariah Hudson,,,
560,Michelle DePass,Marnie Glickman,Tiffani Penson,Mariah Hudson,Antonio Jamal PettyJohnBlue,Elana Pirtle-Guiney
575,Michelle DePass,Dan Ryan,Debbie Kitchin,Tiffani Penson,Jennifer Park,Laura Streib
577,Dan Ryan,Mariah Hudson,Michelle DePass,Jonathan Tasini,Tiffani Penson,Sameer Kanal
582,Sam Sachs,Mariah Hudson,,,,
592,Nat West,Dan Ryan,James Armstrong,Michelle DePass,Reuben Berlin,Elana Pirtle-Guiney
594,Bob Simril,Mariah Hudson,Tiffani Penson,Marnie Glickman,Chris Olson,Laura Streib
598,Sameer Kanal,Tiffani Penson,Debbie Kitchin,,,
609,Tiffani Penson,Marnie Glickman,Michelle DePass,Sameer Kanal,Debbie Kitchin,Jonathan Tasini
612,Nat West,Elana Pirtle-Guiney,Debbie Kitchin,Sameer Kanal,Michelle DePass,Marnie Glickman
613,Mariah Hudson,Tiffani Penson,Michelle DePass,Dan Ryan,Bob Simril,Marnie Glickman
620,Dan Ryan,Nabil Zaghloul,Marnie Glickman,Tiffani Penson,James Armstrong,Mariah Hudson
621,Marnie Glickman,Dan Ryan,Nat West,Bob Simril,,
623,Elana Pirtle-Guiney,Mariah Hudson,Dan Ryan,James Armstrong,Michael (Mike) Marshall,Sameer Kanal
639,Dan Ryan,,,,,
647,Nat West,Reuben Berlin,Will Mespelt,Antonio Jamal PettyJohnBlue,Sam Sachs,Michelle DePass
651,Dan Ryan,,,,,
654,Sameer Kanal,Debbie Kitchin,Nat West,Tiffani Penson,Marnie Glickman,Mariah Hudson
657,Nat West,Sameer Kanal,Mariah Hudson,,,
661,Dan Ryan,Marnie Glickman,Mariah Hudson,Bob Simril,James Armstrong,Debbie Kitchin
666,James Armstrong,Reuben Berlin,Sameer Kanal,Debbie Kitchin,Will Mespelt,Michelle DePass
669,Elana Pirtle-Guiney,Nat West,Marnie Glickman,Michelle DePass,Debbie Kitchin,Sameer Kanal
673,Michelle DePass,Tiffani Penson,Sameer Kanal,Mariah Hudson,Elana Pirtle-Guiney,James Armstrong
674,Nabil Zaghloul,Bob Simril,Dan Ryan,Tiffani Penson,Michael (Mike) Marshall,
675,Elana Pirtle-Guiney,Nat West,Marnie Glickman,Michelle DePass,Sameer Kanal,Debbie Kitchin
687,James Armstrong,Reuben Berlin,Nat West,Michelle DePass,Dan Ryan,Elana Pirtle-Guiney
690,Nabil Zaghloul,Sameer Kanal,Antonio Jamal PettyJohnBlue,Sam Sachs,Michelle DePass,Jonathan Tasini
709,Dan Ryan,Mariah Hudson,Bob Simril,Marnie Glickman,,
714,Liz Taylor,,,,,
715,Nat West,Debbie Kitchin,Marnie Glickman,Sameer Kanal,Michelle DePass,Elana Pirtle-Guiney
716,Elana Pirtle-Guiney,Nat West,Marnie Glickman,Sameer Kanal,,
721,Dan Ryan,Bob Simril,Will Mespelt,James Armstrong,Elana Pirtle-Guiney,Nat West
728,Mariah Hudson,Marnie Glickman,Sameer Kanal,Tiffani Penson,Nabil Zaghloul,Elana Pirtle-Guiney
729,Mariah Hudson,Tiffani Penson,Nabil Zaghloul,Michael (Mike) Marshall,Marnie Glickman,Debbie Kitchin
735,Bob Simril,Dan Ryan,,,,
742,Nat West,Sameer Kanal,Tiffani Penson,Michelle DePass,Dan Ryan,Debbie Kitchin
752,Michelle DePass,Dan Ryan,Debbie Kitchin,James Armstrong,,
755,Debbie Kitchin,Nat West,Marnie Glickman,Sameer Kanal,Write-in-123,
756,Debbie Kitchin,Nat West,Marnie Glickman,Sameer Kanal,Michelle DePass,
762,Tiffani Penson,,,,,
763,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,,,
766,Reuben Berlin,Bob Simril,James Armstrong,,,
769,Elana Pirtle-Guiney,Marnie Glickman,Nat West,Nabil Zaghloul,,
773,Dan Ryan,Tiffani Penson,Nat West,,,
774,Marnie Glickman,Michelle DePass,Elana Pirtle-Guiney,Tiffani Penson,James Armstrong,Nabil Zaghloul
775,Tiffani Penson,Dan Ryan,Michael (Mike) Marshall,Mariah Hudson,Michelle DePass,Nat West
776,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
777,Sameer Kanal,Tiffani Penson,Michelle DePass,Nat West,Jonathan Tasini,Michael (Mike) Marshall
780,Sam Sachs,Bob Simril,James Armstrong,Will Mespelt,Jonathan Tasini,Nabil Zaghloul
781,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
782,Dan Ryan,Bob Simril,Tiffani Penson,Michael (Mike) Marshall,Mariah Hudson,Debbie Kitchin
783,Michelle DePass,Tiffani Penson,Sameer Kanal,Nat West,,
784,Sameer Kanal,Michelle DePass,Jonathan Tasini,,,
789,Dan Ryan,Marnie Glickman,Tiffani Penson,Michael (Mike) Marshall,Elana Pirtle-Guiney,Mariah Hudson
792,Dan Ryan,Marnie Glickman,Tiffani Penson,Michael (Mike) Marshall,Elana Pirtle-Guiney,Mariah Hudson
812,Michelle DePass,Tiffani Penson,Antonio Jamal PettyJohnBlue,,,
819,Dan Ryan,Marnie Glickman,,,,
820,Dan Ryan,Michelle DePass,Laura Streib,Liz Taylor,Sameer Kanal,Debbie Kitchin
821,Jennifer Park,Jonathan Tasini,Bob Simril,Sameer Kanal,Nabil Zaghloul,Sam Sachs
822,Marnie Glickman,James Armstrong,Dan Ryan,Tiffani Penson,,
827,Sameer Kanal,Debbie Kitchin,Tiffani Penson,Will Mespelt,Liz Taylor,Mariah Hudson
828,Elana Pirtle-Guiney,Mariah Hudson,Marnie Glickman,Debbie Kitchin,Tiffani Penson,Dan Ryan
845,Mariah Hudson,Marnie Glickman,Elana Pirtle-Guiney,Reuben Berlin,Nat West,Bob Simril
848,Marnie Glickman,Write-in-123,Elana Pirtle-Guiney,Tiffani Penson,James Armstrong,Nabil Zaghloul
849,Elana Pirtle-Guiney,Liz Taylor,Michael (Mike) Marshall,Mariah Hudson,Dan Ryan,Nabil Zaghloul
850,Michelle DePass,Sameer Kanal,Jonathan Tasini,,,
860,Sameer Kanal,Dan Ryan,Tiffani Penson,James Armstrong,Bob Simril,Debbie Kitchin
863,Nabil Zaghloul,Sameer Kanal,Tiffani Penson,Liz Taylor,Laura Streib,Michelle DePass
864,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Tiffani Penson,Sam Sachs,Jonathan Tasini
865,Sam Sachs,Bob Simril,James Armstrong,Will Mespelt,Jonathan Tasini,Nabil Zaghloul
866,Dan Ryan,Michael (Mike) Marshall,Nat West,Mariah Hudson,,
873,Mariah Hudson,Marnie Glickman,Elana Pirtle-Guiney,Reuben Berlin,Nat West,Bob Simril
874,,,,,,
884,Nat West,Mariah Hudson,Dan Ryan,Tiffani Penson,Marnie Glickman,
889,Dan Ryan,,,,,
890,Nat West,Elana Pirtle-Guiney,Debbie Kitchin,Sameer Kanal,Michelle DePass,Marnie Glickman
898,Tiffani Penson,Bob Simril,Michael (Mike) Marshall,Liz Taylor,Dan Ryan,Mariah Hudson
902,Nabil Zaghloul,Tiffani Penson,Michael (Mike) Marshall,Nat West,,
903,Tiffani Penson,Debbie Kitchin,Michael (Mike) Marshall,,,
905,Sameer Kanal,Jonathan Tasini,Mariah Hudson,Dan Ryan,,
910,Sameer Kanal,Michelle DePass,Jonathan Tasini,Dan Ryan,Elana Pirtle-Guiney,
915,Tiffani Penson,,,,,
932,Michelle DePass,Sameer Kanal,Jonathan Tasini,Tiffani Penson,Mariah Hudson,Dan Ryan
933,Jonathan Tasini,Nat West,Sameer Kanal,Marnie Glickman,Jennifer Park,Chris Olson
934,Jonathan Tasini,Nat West,Sameer Kanal,Marnie Glickman,Jennifer Park,Chris Olson
938,Jonathan Tasini,Elana Pirtle-Guiney,Nat West,,,
949,Dan Ryan,Nat West,Liz Taylor,Jennifer Park,,
954,Michelle DePass,Sameer Kanal,Nat West,Jonathan Tasini,,
978,Tiffani Penson,Elana Pirtle-Guiney,Sameer Kanal,,,
983,Nabil Zaghloul,,,,,
988,Bob Simril,Dan Ryan,Tiffani Penson,Marnie Glickman,,
990,Dan Ryan,,,,,
996,Elana Pirtle-Guiney,Tiffani Penson,Mariah Hudson,Sameer Kanal,Nat West,Nabil Zaghloul
1004,Elana Pirtle-Guiney,Debbie Kitchin,Sameer Kanal,Jonathan Tasini,Michelle DePass,Marnie Glickman
1006,Tiffani Penson,Michelle DePass,Sameer Kanal,Mariah Hudson,Bob Simril,Dan Ryan
1014,Dan Ryan,Nabil Zaghloul,Michelle DePass,Sam Sachs,Bob Simril,Nat West
1015,Michael (Mike) Marshall,Michelle DePass,Dan Ryan,Bob Simril,Mariah Hudson,
1016,Dan Ryan,,,,,
1026,Sameer Kanal,Nat West,Michelle DePass,Tiffani Penson,,
1032,Dan Ryan,Nabil Zaghloul,Liz Taylor,Debbie Kitchin,,
1041,Elana Pirtle-Guiney,Dan Ryan,James Armstrong,Tiffani Penson,Jonathan Tasini,
1042,Elana Pirtle-Guiney,Tiffani Penson,Nat West,Mariah Hudson,James Armstrong,Dan Ryan
1047,Tiffani Penson,Dan Ryan,Marnie Glickman,Michael (Mike) Marshall,Nat West,Mariah Hudson
1054,Michelle DePass,Sameer Kanal,Elana Pirtle-Guiney,Mariah Hudson,Tiffani Penson,Michael (Mike) Marshall
1060,Nabil Zaghloul,Bob Simril,Dan Ryan,Nat West,,
1071,Bob Simril,,,,,
1097,Nat West,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,,
1102,Michael (Mike) Marshall,Dan Ryan,Tiffani Penson,,,
1103,Michael (Mike) Marshall,Dan Ryan,Tiffani Penson,,,
1122,Dan Ryan,Nabil Zaghloul,Debbie Kitchin,,,
1130,Michael (Mike) Marshall,Bob Simril,Tiffani Penson,Dan Ryan,Marnie Glickman,Nat West
1131,Nat West,James Armstrong,Antonio Jamal PettyJohnBlue,Liz Taylor,Bob Simril,Nabil Zaghloul
1138,Michelle DePass,Dan Ryan,Bob Simril,Elana Pirtle-Guiney,Debbie Kitchin,
1139,Marnie Glickman,Nat West,Jennifer Park,Liz Taylor,Laura Streib,Mariah Hudson
1155,Nat West,Bob Simril,Nabil Zaghloul,Dan Ryan,Liz Taylor,Chris Olson
1160,Dan Ryan,Bob Simril,Marnie Glickman,James Armstrong,Tiffani Penson,Mariah Hudson
1166,Michael (Mike) Marshall,Jonathan Tasini,Sameer Kanal,Elana Pirtle-Guiney,Tiffani Penson,Mariah Hudson
1167,Dan Ryan,Marnie Glickman,Tiffani Penson,,,
1168,Sameer Kanal,Michael (Mike) Marshall,Tiffani Penson,Mariah Hudson,Jonathan Tasini,Dan Ryan
1169,Bob Simril,Dan Ryan,Nat West,Elana Pirtle-Guiney,Sameer Kanal,Liz Taylor
1172,Tiffani Penson,Nat West,,,,
1173,Tiffani Penson,Nat West,,,,
1174,Tiffani Penson,Liz Taylor,,,,
1186,Sameer Kanal,Nabil Zaghloul,Jonathan Tasini,,,
1201,Mariah Hudson,Nat West,Michelle DePass,Elana Pirtle-Guiney,Dan Ryan,Debbie Kitchin
1207,Reuben Berlin,James Armstrong,Nat West,Will Mespelt,Bob Simril,Dan Ryan
1210,Elana Pirtle-Guiney,Sameer Kanal,Michelle DePass,,,
1224,Elana Pirtle-Guiney,Marnie Glickman,Nat West,Jonathan Tasini,Michael (Mike) Marshall,Dan Ryan
1229,Elana Pirtle-Guiney,Marnie Glickman,Nat West,Jonathan Tasini,Michael (Mike) Marshall,Dan Ryan
1245,Nat West,Michelle DePass,Marnie Glickman,Elana Pirtle-Guiney,Sameer Kanal,
1250,Nat West,Michelle DePass,Sameer Kanal,Marnie Glickman,Elana Pirtle-Guiney,
1260,Marnie Glickman,Nat West,Sameer Kanal,,,
1268,Dan Ryan,Mariah Hudson,Tiffani Penson,Bob Simril,Michael (Mike) Marshall,
1294,Dan Ryan,Reuben Berlin,James Armstrong,Tiffani Penson,Bob Simril,Nat West
1307,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Mariah Hudson,Marnie Glickman,Nat West
1308,Dan Ryan,Nabil Zaghloul,Mariah Hudson,Marnie Glickman,Tiffani Penson,Nat West
1309,Nat West,Dan Ryan,Tiffani Penson,Bob Simril,Mariah Hudson,Nabil Zaghloul
1310,Michael (Mike) Marshall,Tiffani Penson,Elana Pirtle-Guiney,Bob Simril,Debbie Kitchin,Michelle DePass
1311,Nat West,Mariah Hudson,Sam Sachs,,,
1313,Mariah Hudson,Dan Ryan,Michelle DePass,Sameer Kanal,Debbie Kitchin,Laura Streib
1314,Nat West,Chris Olson,Marnie Glickman,Tiffani Penson,Elana Pirtle-Guiney,Liz Taylor
1315,Elana Pirtle-Guiney,Dan Ryan,Nat West,Michelle DePass,,
1316,Nat West,Dan Ryan,Sameer Kanal,Elana Pirtle-Guiney,Tiffani Penson,Jonathan Tasini
1317,Tiffani Penson,Marnie Glickman,Nat West,Michelle DePass,Sameer Kanal,Jennifer Park
1318,Jennifer Park,Liz Taylor,Laura Streib,Debbie Kitchin,Mariah Hudson,Michelle DePass
1334,Nat West,Sameer Kanal,Marnie Glickman,,,
1336,Dan Ryan,Mariah Hudson,Nat West,Bob Simril,Michael (Mike) Marshall,Jonathan Tasini
1338,Michael (Mike) Marshall,James Armstrong,Nat West,Sameer Kanal,Debbie Kitchin,Chris Olson
1339,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Mariah Hudson,Marnie Glickman,Nat West
1340,Dan Ryan,Tiffani Penson,Mariah Hudson,Bob Simril,,
1341,Dan Ryan,Bob Simril,Tiffani Penson,,,
1342,Dan Ryan,Bob Simril,Tiffani Penson,,,
1343,Debbie Kitchin,Dan Ryan,Bob Simril,,,
1344,Debbie Kitchin,Dan Ryan,Bob Simril,,,
1345,Michelle DePass,Dan Ryan,Elana Pirtle-Guiney,Sameer Kanal,Mariah Hudson,James Armstrong
1346,Elana Pirtle-Guiney,Dan Ryan,Mariah Hudson,,,
1347,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,
1348,Nabil Zaghloul,Nat West,Tiffani Penson,Jonathan Tasini,Bob Simril,Mariah Hudson
1349,Jonathan Tasini,Elana Pirtle-Guiney,Dan Ryan,,,
1350,Nat West,Debbie Kitchin,Chris Olson,Michelle DePass,Mariah Hudson,Elana Pirtle-Guiney
1352,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,Mariah Hudson,Michelle DePass,
1353,Michelle DePass,Nat West,Elana Pirtle-Guiney,Michael (Mike) Marshall,Marnie Glickman,Laura Streib
1354,Elana Pirtle-Guiney,Jonathan Tasini,Nabil Zaghloul,Nat West,Chris Olson,Jennifer Park
1355,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,James Armstrong,Michael (Mike) Marshall,Mariah Hudson
1356,Chris Olson,Sameer Kanal,Nat West,Jennifer Park,Jonathan Tasini,James Armstrong
1384,Sameer Kanal,,,,,
1387,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Tiffani Penson,Michael (Mike) Marshall,Nat West
1391,Dan Ryan,Michelle DePass,Laura Streib,Elana Pirtle-Guiney,Michael (Mike) Marshall,Mariah Hudson
1394,Michael (Mike) Marshall,Chris Olson,Jonathan Tasini,Tiffani Penson,Elana Pirtle-Guiney,Laura Streib
1399,Dan Ryan,,,,,
1402,Michael (Mike) Marshall,Chris Olson,Jonathan Tasini,Tiffani Penson,Elana Pirtle-Guiney,Laura Streib
1403,Michael (Mike) Marshall,Chris Olson,Jonathan Tasini,Tiffani Penson,Elana Pirtle-Guiney,Laura Streib
1406,Jonathan Tasini,Michelle DePass,Sameer Kanal,Marnie Glickman,,
1407,Jonathan Tasini,Michelle DePass,Sameer Kanal,Marnie Glickman,,
1410,Dan Ryan,,,,,
1414,Elana Pirtle-Guiney,Dan Ryan,Michelle DePass,Tiffani Penson,Michael (Mike) Marshall,Nat West
1428,Elana Pirtle-Guiney,Michelle DePass,Dan Ryan,Write-in-123,Write-in-124,Write-in-125
1430,Mariah Hudson,Dan Ryan,Elana Pirtle-Guiney,Michelle DePass,,
1431,Marnie Glickman,Nat West,Debbie Kitchin,Sameer Kanal,Michelle DePass,
1432,Dan Ryan,Elana Pirtle-Guiney,Michael (Mike) Marshall,James Armstrong,,
1433,Marnie Glickman,Elana Pirtle-Guiney,Tiffani Penson,Bob Simril,Mariah Hudson,Dan Ryan
1437,Dan Ryan,Elana Pirtle-Guiney,Tiffani Penson,Marnie Glickman,Jonathan Tasini,
1438,Dan Ryan,,,,,
1439,Dan Ryan,Michelle DePass,Michael (Mike) Marshall,Elana Pirtle-Guiney,Marnie Glickman,Bob Simril
1440,Mariah Hudson,Dan Ryan,Michelle DePass,Sameer Kanal,Debbie Kitchin,Laura Streib
1441,Dan Ryan,Will Mespelt,Michael (Mike) Marshall,,,
