RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
9,Marnie Glickman,Elana Pirtle-Guiney,Jonathan Tasini,Dan Ryan,,
10,Marnie Glickman,Dan Ryan,Nabil Zaghloul,,,
11,Sameer Kanal,Michelle DePass,Tiffani Penson,Nat West,,
12,Dan Ryan,Tiffani Penson,Nat West,Mariah Hudson,Jonathan Tasini,Elana Pirtle-Guiney
36,Jennifer Park,Liz Taylor,Bob Simril,Laura Streib,Michelle DePass,Debbie Kitchin
40,Nat West,Marnie Glickman,Elana Pirtle-Guiney,Michelle DePass,Jonathan Tasini,Sameer Kanal
49,Nat West,Elana Pirtle-Guiney,Dan Ryan,,,
61,Dan Ryan,Michelle DePass,Mariah Hudson,Tiffani Penson,,
62,Dan Ryan,Mariah Hudson,Tiffani Penson,,,
63,Dan Ryan,,,,,
67,Nat West,James Armstrong,Reuben Berlin,Mariah Hudson,Dan Ryan,Laura Streib
75,Dan Ryan,Bob Simril,Will Mespelt,Sam Sachs,Debbie Kitchin,Michael (Mike) Marshall
81,Marnie Glickman,Tiffani Penson,Elana Pirtle-Guiney,Dan Ryan,Mariah Hudson,Jonathan Tasini
87,Sameer Kanal,Will Mespelt,Elana Pirtle-Guiney,Tiffani Penson,Bob Simril,Michael (Mike) Marshall
90,Bob Simril,Elana Pirtle-Guiney,Mariah Hudson,Nabil Zaghloul,Jennifer Park,Nat West
96,James Armstrong,Tiffani Penson,Jonathan Tasini,Marnie Glickman,Debbie Kitchin,Michelle DePass
98,Nat West,Jonathan Tasini,Elana Pirtle-Guiney,Mariah Hudson,Tiffani Penson,
99,Marnie Glickman,Mariah Hudson,Dan Ryan,Michael (Mike) Marshall,Jonathan Tasini,Elana Pirtle-Guiney
101,Jonathan Tasini,Liz Taylor,Dan Ryan,,,
113,Dan Ryan,Tiffani Penson,Nabil Zaghloul,Nat West,Marnie Glickman,Sameer Kanal
118,Tiffani Penson,Marnie Glickman,Elana Pirtle-Guiney,Michael (Mike) Marshall,Mariah Hudson,
119,James Armstrong,Tiffani Penson,Sameer Kanal,Michael (Mike) Marshall,Marnie Glickman,Nat West
120,Marnie Glickman,Nat West,Elana Pirtle-Guiney,Tiffani Penson,Michael (Mike) Marshall,Sameer Kanal
134,Laura Streib,Mariah Hudson,Jonathan Tasini,Elana Pirtle-Guiney,Jennifer Park,Nat West
139,Liz Taylor,Jonathan Tasini,Sam Sachs,,,
140,Bob Simril,Mariah Hudson,Marnie Glickman,Tiffani Penson,Nabil Zaghloul,Michelle DePass
151,Dan Ryan,Tiffani Penson,Elana Pirtle-Guiney,,,
156,Michael (Mike) Marshall,,,,,
164,Dan Ryan,Michelle DePass,Mariah Hudson,Tiffani Penson,,
167,Debbie Kitchin,Marnie Glickman,Tiffani Penson,Elana Pirtle-Guiney,Michelle DePass,Mariah Hudson
168,Dan Ryan,Mariah Hudson,James Armstrong,Will Mespelt,Elana Pirtle-Guiney,Marnie Glickman
170,Michelle DePass,Debbie Kitchin,James Armstrong,Mariah Hudson,Michael (Mike) Marshall,Elana Pirtle-Guiney
171,Michelle DePass,Debbie Kitchin,James Armstrong,Mariah Hudson,Michael (Mike) Marshall,Elana Pirtle-Guiney
175,Dan Ryan,Bob Simril,Will Mespelt,Sam Sachs,Debbie Kitchin,Michael (Mike) Marshall
176,Debbie Kitchin,Michelle DePass,Dan Ryan,Tiffani Penson,Sameer Kanal,Mariah Hudson
178,Debbie Kitchin,Sameer Kanal,Dan Ryan,Michelle DePass,Mariah Hudson,Tiffani Penson
182,Michelle DePass,Laura Streib,Jennifer Park,Debbie Kitchin,Marnie Glickman,Liz Taylor
185,Elana Pirtle-Guiney,Jonathan Tasini,Nat West,Tiffani Penson,Nabil Zaghloul,
