RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
2,Stanley Penkin,Olivia Clark,,,,
3,Chad Lykins,Sarah Silkie,Lisa Freeman,Eric Zimmerman,Olivia Clark,Tony Morse
4,Olivia Clark,Sarah Silkie,John Toran,Mitch Green,Lisa Freeman,Bob Callahan
6,Mitch Green,Sarah Silkie,Chad Lykins,,,
8,Moses Ross,Sarah Silkie,Bob Weinstein,Eric Zimmerman,Olivia Clark,Lisa Freeman
13,Olivia Clark,Eli Arnold,,,,
14,Lisa Freeman,Sarah Silkie,Olivia Clark,,,
16,Lisa Freeman,Sarah Silkie,Olivia Clark,,,
17,Olivia Clark,Sarah Silkie,Mitch Green,Chad Lykins,Lisa Freeman,Bob Weinstein
18,Tony Morse,Stanley Penkin,Bob Weinstein,Olivia Clark,Lisa Freeman,Sarah Silkie
19,Eli Arnold,Eric Zimmerman,Moses Ross,Mike DiNapoli,Olivia Clark,Sarah Silkie
20,Olivia Clark,Lisa Freeman,Chad Lykins,Mitch Green,Tony Morse,Eric Zimmerman
21,Chloe Mason,Raquel Coyote,Olivia Clark,Lisa Freeman,Sarah Silkie,Eric Zimmerman
22,Eric Zimmerman,Mitch Green,Eli Arnold,Bob Weinstein,Ben Hufford,
23,Lisa Freeman,Mitch Green,Sarah Silkie,Chad Lykins,Chris Henry,
24,Olivia Clark,Stanley Penkin,,,,
25,Eric Zimmerman,Ben Hufford,Tony Morse,Eli Arnold,John Toran,Olivia Clark
27,Stanley Penkin,John Toran,Olivia Clark,Sarah Silkie,Bob Weinstein,L Christopher Regis
30,Bob Weinstein,Eli Arnold,John Toran,Olivia Clark,Ben Hufford,Eric Zimmerman
32,Eli Arnold,Bob Callahan,Olivia Clark,John Toran,Mitch Green,
33,Eli Arnold,Bob Callahan,Olivia Clark,John Toran,Mitch Green,
34,Eli Arnold,Ben Hufford,Eric Zimmerman,Patrick Cashman,Bob Callahan,
41,Olivia Clark,Chad Lykins,Bob Callahan,John Toran,Mitch Green,Eric Zimmerman
47,Olivia Clark,Bob Callahan,Lisa Freeman,Chad Lykins,,
48,Mitch Green,Olivia Clark,Eric Zimmerman,Sarah Silkie,Tony Morse,Lisa Freeman
50,Olivia Clark,John Toran,Ben Hufford,Mitch Green,Sarah Silkie,Lisa Freeman
55,Lisa Freeman,Stanley Penkin,Sarah Silkie,Mitch Green,Ben Hufford,Eric Zimmerman
56,Stanley Penkin,,,,,
60,Bob Weinstein,,,,,
64,Mitch Green,Olivia Clark,Tony Morse,Stanley Penkin,Chad Lykins,
65,Bob Weinstein,Eli Arnold,Eric Zimmerman,John Toran,Tony Morse,Bob Callahan
66,Bob Weinstein,Eli Arnold,Eric Zimmerman,John Toran,Tony Morse,Bob Callahan
68,Olivia Clark,Bob Weinstein,Sarah Silkie,Kevin Goldsmith,Kelly Doyle,Tony Morse
69,Bob Weinstein,Ben Hufford,,,,
72,Lisa Freeman,Sarah Silkie,John Toran,Tony Morse,Mitch Green,Moses Ross
73,Bob Weinstein,,,,,
74,Bob Weinstein,,,,,
76,Eric Zimmerman,Olivia Clark,Moses Ross,Bob Callahan,Lisa Freeman,Ben Hufford
77,Eric Zimmerman,Olivia Clark,Moses Ross,Bob Callahan,Lisa Freeman,Ben Hufford
82,Chris Henry,Mike DiNapoli,Lisa Freeman,Olivia Clark,Chad Lykins,Raquel Coyote
84,Olivia Clark,Bob Weinstein,Eric Zimmerman,,,
88,Chad Lykins,Raquel Coyote,Chloe Mason,Joseph (Joe) Alfone,Olivia Clark,Kelly Doyle
91,Lisa Freeman,Mitch Green,Olivia Clark,Stanley Penkin,Tony Morse,Chad Lykins
95,John Toran,,,,,
97,Olivia Clark,Stanley Penkin,Chad Lykins,Ben Hufford,Lisa Freeman,Moses Ross
100,Eli Arnold,,,,,
103,Stanley Penkin,John Toran,Olivia Clark,Bob Weinstein,Eric Zimmerman,Eli Arnold
104,Olivia Clark,Chad Lykins,Bob Callahan,Eli Arnold,Mitch Green,Eric Zimmerman
105,Uncertified Write In,,,,,
107,Olivia Clark,Bob Weinstein,Moses Ross,,,
108,Olivia Clark,Lisa Freeman,Tony Morse,Eric Zimmerman,Eli Arnold,Mitch Green
109,Ben Hufford,Lisa Freeman,Chad Lykins,Mitch Green,Moses Ross,Sarah Silkie
111,Olivia Clark,Eric Zimmerman,Eli Arnold,Stanley Penkin,,
126,Chad Lykins,Lisa Freeman,Mitch Green,Olivia Clark,,
128,Olivia Clark,Tony Morse,Stanley Penkin,Chad Lykins,Ben Hufford,
129,Eric Zimmerman,Olivia Clark,Eli Arnold,Tony Morse,Chad Lykins,Bob Weinstein
130,Olivia Clark,Lisa Freeman,Bob Weinstein,Moses Ross,Stanley Penkin,Eric Zimmerman
131,Eric Zimmerman,Ben Hufford,Tony Morse,Eli Arnold,John Toran,Olivia Clark
132,Olivia Clark,Lisa Freeman,Tony Morse,Eli Arnold,Eric Zimmerman,Mitch Green
133,Olivia Clark,Stanley Penkin,,,,
137,Andra Vltavin,Mitch Green,Tony Morse,Michael Trimble,Olivia Clark,Sarah Silkie
138,Stanley Penkin,John Toran,Olivia Clark,Bob Weinstein,Lisa Freeman,Eric Zimmerman
141,Stanley Penkin,Bob Weinstein,Sarah Silkie,,,
144,Eli Arnold,Bob Weinstein,,,,
146,Eli Arnold,Bob Weinstein,,,,
149,Eric Zimmerman,Olivia Clark,Eli Arnold,Tony Morse,Ben Hufford,Chad Lykins
150,Raquel Coyote,Olivia Clark,Moses Ross,Kelly Doyle,Tony Morse,Mitch Green
157,Raquel Coyote,Moses Ross,Ciatta R Thompson,Joseph (Joe) Alfone,Olivia Clark,Kelly Doyle
158,Lisa Freeman,Chad Lykins,Eli Arnold,Eric Zimmerman,Mitch Green,
159,Eli Arnold,Lisa Freeman,Ben Hufford,,,
163,Eli Arnold,,,,,
165,Stanley Penkin,Mitch Green,,,,
166,Eric Zimmerman,Lisa Freeman,Ben Hufford,Olivia Clark,Bob Weinstein,Eli Arnold
169,Eric Zimmerman,Lisa Freeman,Ben Hufford,Olivia Clark,Bob Weinstein,Eli Arnold
172,Eric Zimmerman,Lisa Freeman,Mitch Green,Joseph (Joe) Alfone,Ciatta R Thompson,Chad Lykins
173,Eric Zimmerman,,,,,
177,,,,,,
179,Bob Weinstein,Lisa Freeman,Mitch Green,Sarah Silkie,Olivia Clark,Bob Callahan
180,Ben Hufford,Mitch Green,Lisa Freeman,Moses Ross,,
181,Olivia Clark,Lisa Freeman,Bob Weinstein,Moses Ross,Stanley Penkin,Eric Zimmerman
188,Mitch Green,Bob Weinstein,Eric Zimmerman,Ben Hufford,Stanley Penkin,Chad Lykins
195,Olivia Clark,Eric Zimmerman,Eli Arnold,,,
196,Lisa Freeman,Sarah Silkie,Mitch Green,Chad Lykins,John Toran,Ciatta R Thompson
197,Eli Arnold,Chad Lykins,Bob Callahan,Ben Hufford,Eric Zimmerman,Moses Ross
198,Eli Arnold,John Toran,Bob Callahan,Ben Hufford,Eric Zimmerman,Moses Ross
200,Eli Arnold,Eric Zimmerman,Olivia Clark,Tony Morse,,
201,Olivia Clark,Eric Zimmerman,Eli Arnold,Tony Morse,,
202,Lisa Freeman,Mitch Green,Sarah Silkie,Chad Lykins,,
203,Eric Zimmerman,Olivia Clark,Sarah Silkie,Ben Hufford,Lisa Freeman,Bob Weinstein
204,John Toran,Olivia Clark,Chad Lykins,Stanley Penkin,Tony Morse,Moses Ross
205,Olivia Clark,Bob Weinstein,Eric Zimmerman,Ben Hufford,Stanley Penkin,Sarah Silkie
206,John Toran,Olivia Clark,Chad Lykins,Stanley Penkin,Tony Morse,Moses Ross
214,Olivia Clark,Mitch Green,Eric Zimmerman,Bob Weinstein,Stanley Penkin,Eli Arnold
217,Eli Arnold,,,,,
218,Olivia Clark,John Toran,Eric Zimmerman,Stanley Penkin,Bob Weinstein,Sarah Silkie
222,Lisa Freeman,Chloe Mason,Ben Hufford,Tony Morse,Mitch Green,Ciatta R Thompson
224,Bob Weinstein,Eli Arnold,Ben Hufford,,,
226,Olivia Clark,Eli Arnold,Eric Zimmerman,Bob Weinstein,,
228,Olivia Clark,Mitch Green,Eric Zimmerman,Bob Weinstein,Stanley Penkin,Eli Arnold
229,Bob Weinstein,Mitch Green,Sarah Silkie,,,
231,Olivia Clark,Eric Zimmerman,Lisa Freeman,Moses Ross,Chad Lykins,Ben Hufford
232,Olivia Clark,Chad Lykins,Tony Morse,Joseph (Joe) Alfone,Eric Zimmerman,Sarah Silkie
237,John Toran,Bob Callahan,Eli Arnold,Kevin Goldsmith,Chloe Mason,Bob Weinstein
238,Olivia Clark,Chad Lykins,Tony Morse,Eric Zimmerman,Ben Hufford,
240,Olivia Clark,Bob Callahan,Lisa Freeman,John Toran,Mitch Green,Stanley Penkin
241,Lisa Freeman,Mitch Green,Chad Lykins,Eli Arnold,John Toran,
242,Eric Zimmerman,Olivia Clark,Ben Hufford,Lisa Freeman,Tony Morse,Bob Weinstein
243,Olivia Clark,Stanley Penkin,Eric Zimmerman,Eli Arnold,,
245,John J Goldsmith,Kevin Goldsmith,Eric Zimmerman,Sarah Silkie,Eli Arnold,Ciatta R Thompson
246,Bob Weinstein,Lisa Freeman,Olivia Clark,Ben Hufford,Eric Zimmerman,Eli Arnold
249,Chloe Mason,Ciatta R Thompson,Raquel Coyote,Olivia Clark,Lisa Freeman,
258,Ben Hufford,Chris Henry,,,,
259,Olivia Clark,,,,,
261,Olivia Clark,Lisa Freeman,,,,
270,Olivia Clark,Eric Zimmerman,Tony Morse,,,
273,John Toran,Patrick Cashman,Kelly Doyle,,,
279,Olivia Clark,Sarah Silkie,Raquel Coyote,Lisa Freeman,Andra Vltavin,Chloe Mason
280,Eric Zimmerman,Mike DiNapoli,Chris Henry,Olivia Clark,Michael Trimble,Chad Lykins
283,Raquel Coyote,Andra Vltavin,Chloe Mason,Ciatta R Thompson,Olivia Clark,Lisa Freeman
284,Bob Weinstein,Bob Callahan,Eli Arnold,Stanley Penkin,,
293,Eric Zimmerman,Bob Weinstein,,,,
294,Bob Weinstein,Eric Zimmerman,,,,
295,Olivia Clark,Tony Morse,Lisa Freeman,Chloe Mason,Sarah Silkie,Bob Callahan
303,Eli Arnold,Olivia Clark,Lisa Freeman,Stanley Penkin,Ciatta R Thompson,Eric Zimmerman
306,Chad Lykins,Lisa Freeman,Mitch Green,Sarah Silkie,,
311,Chad Lykins,Olivia Clark,Stanley Penkin,,,
318,Sarah Silkie,Tony Schwartz,Ben Hufford,Eli Arnold,Eric Zimmerman,Bob Weinstein
319,Chad Lykins,Lisa Freeman,Mitch Green,Sarah Silkie,,
321,Eli Arnold,Mitch Green,Lisa Freeman,Sarah Silkie,,
322,Patrick Cashman,Eli Arnold,Lisa Freeman,,,
333,Lisa Freeman,Bob Weinstein,Stanley Penkin,Eric Zimmerman,,
336,Tony Schwartz,Chloe Mason,Michael Trimble,Lisa Freeman,Bob Weinstein,Ben Hufford
342,Stanley Penkin,Eli Arnold,Moses Ross,,,
343,Olivia Clark,Bob Weinstein,Eric Zimmerman,Eli Arnold,John Toran,Tony Morse
345,Stanley Penkin,Bob Callahan,Ben Hufford,Chloe Mason,Bob Weinstein,Olivia Clark
346,Chad Lykins,Olivia Clark,Lisa Freeman,Sarah Silkie,Bob Weinstein,Mitch Green
347,Sarah Silkie,Chad Lykins,Eli Arnold,Mitch Green,Ben Hufford,
353,John J Goldsmith,Bob Weinstein,Kevin Goldsmith,Bob Callahan,Sarah Silkie,Eric Zimmerman
364,Olivia Clark,Lisa Freeman,Andra Vltavin,Chloe Mason,Eric Zimmerman,Ben Hufford
367,Kevin Goldsmith,Sarah Silkie,Lee Odell,Olivia Clark,Raquel Coyote,Lisa Freeman
370,Sarah Silkie,Mitch Green,Lisa Freeman,Chad Lykins,,
373,Eric Zimmerman,Bob Weinstein,Olivia Clark,,,
374,Moses Ross,Eli Arnold,Mitch Green,Olivia Clark,Lisa Freeman,Ben Hufford
375,Mitch Green,Eli Arnold,Moses Ross,Olivia Clark,Lisa Freeman,Ben Hufford
382,Bob Weinstein,Lisa Freeman,Ben Hufford,,,
384,Bob Weinstein,Kevin Goldsmith,,,,
391,Eric Zimmerman,John Toran,Olivia Clark,,,
394,Mitch Green,,,,,
395,Mitch Green,Eric Zimmerman,Chad Lykins,Lisa Freeman,Tony Morse,Sarah Silkie
399,Bob Weinstein,Eric Zimmerman,Tony Morse,Bob Callahan,Eli Arnold,
400,Sarah Silkie,Mitch Green,Chad Lykins,Kevin Goldsmith,Tony Morse,Ben Hufford
401,Mitch Green,Chad Lykins,Olivia Clark,Eli Arnold,Moses Ross,Eric Zimmerman
402,Mitch Green,Chad Lykins,Olivia Clark,Eli Arnold,Moses Ross,Eric Zimmerman
405,Moses Ross,Eli Arnold,Stanley Penkin,Write-in-129,Write-in-130,Write-in-131
411,Mitch Green,,,,,
418,Moses Ross,Eli Arnold,Mitch Green,Chad Lykins,Eric Zimmerman,Kevin Goldsmith
422,Bob Weinstein,Lisa Freeman,Ben Hufford,,,
423,,,,,,
425,Ben Hufford,Olivia Clark,Lisa Freeman,,,
427,Kevin Goldsmith,,,,,
428,Olivia Clark,Lisa Freeman,Mitch Green,,,
430,Mitch Green,,,,,
434,Eric Zimmerman,Lisa Freeman,Eli Arnold,Mitch Green,Ciatta R Thompson,Tony Morse
439,Stanley Penkin,Sarah Silkie,Mike DiNapoli,Olivia Clark,Eric Zimmerman,Eli Arnold
440,Eric Zimmerman,Olivia Clark,Tony Morse,Lisa Freeman,,
441,Eric Zimmerman,Olivia Clark,,,,
448,Chris Henry,Mitch Green,Sarah Silkie,Lisa Freeman,Olivia Clark,Michael Trimble
450,Chris Henry,Mitch Green,Sarah Silkie,Olivia Clark,Lisa Freeman,Michael Trimble
453,Olivia Clark,Lisa Freeman,John J Goldsmith,Mitch Green,Tony Morse,Stanley Penkin
458,Olivia Clark,Eli Arnold,Eric Zimmerman,Tony Morse,Chad Lykins,
460,Olivia Clark,Eli Arnold,Eric Zimmerman,Tony Morse,Chad Lykins,
465,Eric Zimmerman,Kelly Doyle,,,,
466,Mike DiNapoli,Kevin Goldsmith,John J Goldsmith,,,
468,Stanley Penkin,,,,,
469,Bob Weinstein,Ben Hufford,Eric Zimmerman,,,
470,Stanley Penkin,,,,,
471,Olivia Clark,Mike DiNapoli,Lisa Freeman,Chris Henry,Ciatta R Thompson,Eli Arnold
474,Chris Henry,Mitch Green,Lisa Freeman,Chad Lykins,,
475,Chris Henry,Mitch Green,Lisa Freeman,Chad Lykins,,
478,Sarah Silkie,John Toran,Ben Hufford,Michael Trimble,Eric Zimmerman,Chad Lykins
482,Eli Arnold,Lisa Freeman,Eric Zimmerman,Olivia Clark,Mitch Green,Bob Weinstein
483,Eli Arnold,Chad Lykins,Stanley Penkin,Bob Weinstein,Sarah Silkie,Ben Hufford
485,Ciatta R Thompson,Eric Zimmerman,Olivia Clark,Eli Arnold,Bob Weinstein,Sarah Silkie
486,Eric Zimmerman,Moses Ross,Mitch Green,Bob Weinstein,Olivia Clark,
487,Olivia Clark,Chris Henry,Eric Zimmerman,Stanley Penkin,Mitch Green,Raquel Coyote
488,Olivia Clark,Chris Henry,Eric Zimmerman,Stanley Penkin,Mitch Green,Raquel Coyote
490,Bob Weinstein,Kevin Goldsmith,,,,
492,Lisa Freeman,Mitch Green,Chad Lykins,Tony Morse,Stanley Penkin,Moses Ross
500,Ben Hufford,Moses Ross,Bob Callahan,Michael Trimble,Chad Lykins,Mike DiNapoli
501,Bob Weinstein,,,,,
503,Bob Callahan,Kevin Goldsmith,Stanley Penkin,Michael Trimble,,
504,Mitch Green,Tony Morse,Eli Arnold,Chad Lykins,,
505,Stanley Penkin,Olivia Clark,,,,
508,Bob Callahan,Eric Zimmerman,Kevin Goldsmith,Eli Arnold,,
509,Eli Arnold,,,,,
527,Stanley Penkin,Bob Weinstein,Sarah Silkie,,,
