RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
532,Chad Lykins,Lisa Freeman,Mitch Green,,,
536,Olivia Clark,Sarah Silkie,Eric Zimmerman,Lisa Freeman,Eli Arnold,Tony Morse
537,Michael Trimble,Mitch Green,,,,
543,Bob Weinstein,Olivia Clark,Moses Ross,Sarah Silkie,Eric Zimmerman,Ben Hufford
545,Moses Ross,Raquel Coyote,Chloe Mason,Patrick Cashman,,
546,Lisa Freeman,Stanley Penkin,Sarah Silkie,Mitch Green,Ben Hufford,Eric Zimmerman
548,Olivia Clark,Bob Weinstein,Lisa Freeman,Mitch Green,Ben Hufford,Eric Zimmerman
550,Lisa Freeman,Olivia Clark,Eli Arnold,Chris Henry,,
554,Bob Weinstein,,,,,
564,Uncertified Write In,,,,,
565,Eric Zimmerman,Moses Ross,Mitch Green,Bob Weinstein,Olivia Clark,
568,Bob Weinstein,Eric Zimmerman,Tony Morse,Stanley Penkin,Lisa Freeman,Sarah Silkie
571,Chris Henry,Olivia Clark,Tony Morse,Chad Lykins,,
573,Olivia Clark,Stanley Penkin,Lisa Freeman,Mitch Green,Ben Hufford,John Toran
576,Mitch Green,Kevin Goldsmith,Bob Weinstein,Eli Arnold,John Toran,Olivia Clark
578,Patrick Cashman,Olivia Clark,Chad Lykins,Stanley Penkin,Tony Morse,
583,Olivia Clark,Tony Morse,Chad Lykins,Bob Weinstein,Ben Hufford,Sarah Silkie
584,Olivia Clark,Mitch Green,Bob Weinstein,Lisa Freeman,Sarah Silkie,Bob Callahan
587,Olivia Clark,Stanley Penkin,Sarah Silkie,Bob Callahan,Lisa Freeman,Eli Arnold
588,Ben Hufford,Olivia Clark,Lisa Freeman,,,
589,Moses Ross,Chloe Mason,Sarah Silkie,Ciatta R Thompson,Olivia Clark,L Christopher Regis
590,Kevin Goldsmith,Bob Weinstein,Chad Lykins,Ben Hufford,Lisa Freeman,Sarah Silkie
591,Eli Arnold,Olivia Clark,Ciatta R Thompson,,,
593,Lisa Freeman,Sarah Silkie,Mitch Green,Chad Lykins,Moses Ross,Tony Schwartz
595,Olivia Clark,,,,,
596,Olivia Clark,Moses Ross,Tony Morse,Lisa Freeman,Mitch Green,Ben Hufford
602,Eric Zimmerman,Olivia Clark,Lisa Freeman,Eli Arnold,Sarah Silkie,Bob Callahan
603,Eli Arnold,Eric Zimmerman,Olivia Clark,,,
605,Uncertified Write In,Mitch Green,John J Goldsmith,Kevin Goldsmith,Bob Weinstein,Ben Hufford
614,Sarah Silkie,Olivia Clark,Lisa Freeman,Ben Hufford,Chad Lykins,Moses Ross
616,Bob Weinstein,Ben Hufford,Olivia Clark,Stanley Penkin,,
617,Tony Morse,Chad Lykins,Eric Zimmerman,Olivia Clark,,
618,Lisa Freeman,Chris Henry,Chad Lykins,Bob Weinstein,Sarah Silkie,Olivia Clark
624,Lisa Freeman,Sarah Silkie,Mitch Green,Chad Lykins,Moses Ross,Tony Schwartz
625,Bob Callahan,Olivia Clark,Moses Ross,Chloe Mason,Eli Arnold,Raquel Coyote
631,Chad Lykins,Moses Ross,Olivia Clark,,,
637,Lisa Freeman,Bob Callahan,Eli Arnold,Eric Zimmerman,Bob Weinstein,Sarah Silkie
638,Eli Arnold,Tony Morse,Chad Lykins,Olivia Clark,Bob Weinstein,Ciatta R Thompson
640,Lisa Freeman,Mitch Green,Chad Lykins,,,
642,Eric Zimmerman,Olivia Clark,Tony Morse,Sarah Silkie,Eli Arnold,Lisa Freeman
643,Eli Arnold,Tony Morse,Ben Hufford,Eric Zimmerman,Olivia Clark,John Toran
644,Eli Arnold,Tony Morse,Ben Hufford,Eric Zimmerman,Olivia Clark,John Toran
652,Eric Zimmerman,Eli Arnold,Olivia Clark,Bob Weinstein,John Toran,
653,Eric Zimmerman,Eli Arnold,Bob Weinstein,Olivia Clark,John Toran,
656,Olivia Clark,Tony Morse,Eric Zimmerman,,,
660,Olivia Clark,Eric Zimmerman,Eli Arnold,Bob Callahan,,
665,Moses Ross,Olivia Clark,,,,
670,Olivia Clark,Eric Zimmerman,Sarah Silkie,Lisa Freeman,Stanley Penkin,Chloe Mason
672,Olivia Clark,Sarah Silkie,Eric Zimmerman,Tony Morse,Chad Lykins,
677,Tony Morse,Olivia Clark,Eli Arnold,Sarah Silkie,Chad Lykins,Chris Henry
685,Eli Arnold,Bob Weinstein,Eric Zimmerman,John Toran,Olivia Clark,Lisa Freeman
688,Lisa Freeman,Kevin Goldsmith,Sarah Silkie,Chad Lykins,Eric Zimmerman,Ben Hufford
689,Olivia Clark,Lisa Freeman,,,,
691,Eli Arnold,Ben Hufford,Tony Morse,Stanley Penkin,John Toran,Bob Weinstein
692,Raquel Coyote,,,,,
696,Bob Weinstein,Kevin Goldsmith,John J Goldsmith,Tony Morse,Chloe Mason,John Toran
697,Raquel Coyote,Olivia Clark,Sarah Silkie,,,
700,Olivia Clark,Eric Zimmerman,Tony Morse,,,
701,Mitch Green,Chad Lykins,Sarah Silkie,,,
705,Sarah Silkie,Lisa Freeman,Chad Lykins,Mitch Green,,
706,Olivia Clark,,,,,
707,Sarah Silkie,Mitch Green,Chad Lykins,Kevin Goldsmith,Tony Morse,Ben Hufford
708,Eric Zimmerman,Olivia Clark,Eli Arnold,Bob Callahan,,
712,Eli Arnold,,,,,
713,Olivia Clark,Chad Lykins,Tony Morse,Mitch Green,Eric Zimmerman,Sarah Silkie
718,Olivia Clark,Eric Zimmerman,Lisa Freeman,Moses Ross,Chad Lykins,Ben Hufford
719,Bob Weinstein,John Toran,Olivia Clark,Stanley Penkin,Eric Zimmerman,Bob Callahan
723,Sarah Silkie,Lisa Freeman,Olivia Clark,Raquel Coyote,Chloe Mason,Andra Vltavin
724,Chris Henry,Andra Vltavin,Bob Weinstein,Moses Ross,Chad Lykins,Lisa Freeman
726,Olivia Clark,Sarah Silkie,Bob Weinstein,Tony Morse,,
730,Lisa Freeman,Eric Zimmerman,Chad Lykins,Chris Henry,Sarah Silkie,Olivia Clark
731,Lisa Freeman,Eric Zimmerman,Chad Lykins,Ben Hufford,Sarah Silkie,Olivia Clark
732,Bob Weinstein,Stanley Penkin,Lisa Freeman,Eric Zimmerman,Ben Hufford,Mitch Green
736,Olivia Clark,Moses Ross,Eli Arnold,Sarah Silkie,Stanley Penkin,Tony Morse
737,Ben Hufford,Sarah Silkie,Olivia Clark,Eli Arnold,Chad Lykins,Bob Callahan
738,Chad Lykins,Eric Zimmerman,Mitch Green,Lisa Freeman,,
741,Bob Weinstein,Olivia Clark,Eli Arnold,Lisa Freeman,Stanley Penkin,L Christopher Regis
748,Eli Arnold,Tony Morse,John Toran,Bob Callahan,Moses Ross,Ben Hufford
749,Bob Weinstein,Lisa Freeman,Olivia Clark,Uncertified Write In,,
751,Olivia Clark,Lisa Freeman,Eli Arnold,,,
753,Eric Zimmerman,,,,,
754,Eric Zimmerman,,,,,
758,Mitch Green,Sarah Silkie,Lisa Freeman,Chad Lykins,,
767,Write-in-129,,,,,
768,Lisa Freeman,Olivia Clark,Sarah Silkie,Mitch Green,Eric Zimmerman,Tony Morse
770,Mitch Green,Sarah Silkie,,,,
772,Mitch Green,Olivia Clark,John J Goldsmith,Kevin Goldsmith,Eli Arnold,Chad Lykins
778,Sarah Silkie,Lisa Freeman,Brandon Farley,Bob Callahan,Chloe Mason,Mitch Green
787,Mitch Green,Lisa Freeman,Andra Vltavin,Sarah Silkie,,
791,Olivia Clark,Ciatta R Thompson,Chad Lykins,John Toran,Lisa Freeman,Eric Zimmerman
796,Eli Arnold,Eric Zimmerman,Olivia Clark,Bob Weinstein,Tony Morse,Stanley Penkin
798,Ciatta R Thompson,Olivia Clark,Lisa Freeman,Sarah Silkie,Eric Zimmerman,
801,Ciatta R Thompson,Chloe Mason,Lisa Freeman,Olivia Clark,Sarah Silkie,Eric Zimmerman
803,John Toran,Bob Weinstein,Eli Arnold,Ben Hufford,Chad Lykins,Eric Zimmerman
806,Chloe Mason,,,,,
807,Eli Arnold,John Toran,Stanley Penkin,Olivia Clark,Ben Hufford,
809,Stanley Penkin,,,,,
813,Eric Zimmerman,Olivia Clark,Eli Arnold,Sarah Silkie,Stanley Penkin,John Toran
814,Mitch Green,Lisa Freeman,Eric Zimmerman,Chad Lykins,Sarah Silkie,Chris Henry
817,Eric Zimmerman,Olivia Clark,Eli Arnold,Tony Morse,,
818,Lisa Freeman,Sarah Silkie,Moses Ross,Mike DiNapoli,Chad Lykins,Andra Vltavin
833,Chad Lykins,Ben Hufford,Tony Morse,Olivia Clark,Bob Weinstein,Mitch Green
834,Olivia Clark,Eric Zimmerman,Eli Arnold,Chad Lykins,Bob Weinstein,Moses Ross
838,Chloe Mason,Sarah Silkie,Michael Trimble,Eric Zimmerman,Mitch Green,Chad Lykins
840,Olivia Clark,,,,,
843,Tony Morse,Chad Lykins,Michael Trimble,Bob Callahan,Brandon Farley,Tony Schwartz
846,Mitch Green,Olivia Clark,John J Goldsmith,Kevin Goldsmith,Eli Arnold,Chad Lykins
851,Mitch Green,Lisa Freeman,Chad Lykins,Olivia Clark,Bob Callahan,Sarah Silkie
852,Lisa Freeman,Olivia Clark,Sarah Silkie,Mitch Green,Eric Zimmerman,Tony Morse
854,Eric Zimmerman,Mitch Green,Sarah Silkie,Tony Morse,Olivia Clark,Stanley Penkin
857,Eli Arnold,Bob Weinstein,Olivia Clark,,,
858,Mitch Green,Olivia Clark,Lisa Freeman,Ben Hufford,,
869,Eric Zimmerman,Olivia Clark,Lisa Freeman,Ben Hufford,Eli Arnold,Chad Lykins
872,Bob Weinstein,Eric Zimmerman,John Toran,Tony Morse,Olivia Clark,Chloe Mason
878,Olivia Clark,Eric Zimmerman,Chad Lykins,,,
885,John Toran,Bob Weinstein,Eli Arnold,Ben Hufford,Chad Lykins,Eric Zimmerman
886,Eric Zimmerman,Olivia Clark,Eli Arnold,Sarah Silkie,Stanley Penkin,Bob Weinstein
887,Lisa Freeman,Mitch Green,Moses Ross,Sarah Silkie,Chad Lykins,Stanley Penkin
894,Lisa Freeman,Mitch Green,Andra Vltavin,Sarah Silkie,Moses Ross,
896,Sarah Silkie,Eli Arnold,Stanley Penkin,Olivia Clark,Chad Lykins,Bob Weinstein
904,Bob Weinstein,Chad Lykins,Olivia Clark,Eric Zimmerman,,
912,Chad Lykins,Olivia Clark,Chloe Mason,,,
913,Chad Lykins,Tony Morse,Olivia Clark,,,
917,Eli Arnold,Kevin Goldsmith,Stanley Penkin,Bob Callahan,Ciatta R Thompson,Ben Hufford
923,Eli Arnold,Olivia Clark,Eric Zimmerman,Stanley Penkin,John Toran,
939,Mitch Green,Chloe Mason,Ciatta R Thompson,John Toran,Lisa Freeman,Olivia Clark
940,Mitch Green,Bob Weinstein,Stanley Penkin,Tony Morse,Chloe Mason,Chad Lykins
950,Sarah Silkie,Lisa Freeman,Chloe Mason,Eric Zimmerman,Andra Vltavin,Moses Ross
965,Olivia Clark,Eric Zimmerman,Eli Arnold,,,
995,Olivia Clark,Chloe Mason,John Toran,,,
1002,Olivia Clark,Eric Zimmerman,Eli Arnold,,,
1003,Mitch Green,Chad Lykins,Sarah Silkie,Lisa Freeman,Ciatta R Thompson,Andra Vltavin
1009,Eric Zimmerman,Olivia Clark,Tony Morse,Moses Ross,Eli Arnold,
1028,Olivia Clark,Eric Zimmerman,Eli Arnold,Sarah Silkie,Chad Lykins,
1029,Andra Vltavin,Chloe Mason,Raquel Coyote,Olivia Clark,Lisa Freeman,Moses Ross
1034,Olivia Clark,Eric Zimmerman,Eli Arnold,,,
1043,Eli Arnold,Bob Weinstein,John Toran,Ben Hufford,Lisa Freeman,Eric Zimmerman
1059,Bob Weinstein,Olivia Clark,Eli Arnold,Ben Hufford,,
1063,Olivia Clark,Sarah Silkie,Chad Lykins,Eric Zimmerman,Bob Weinstein,Mitch Green
1064,,,,,,
